date,value
2003-10-14,2837.81
2003-10-15,2900.65
2003-10-16,2943.71
2003-10-17,2945.46
2003-10-20,2874.88
2003-10-21,2790.95
2003-10-22,2762.27
2003-10-23,2762.78
2003-10-24,2821.71
2003-10-25,2871.41
2003-10-27,2805.65
2003-10-28,2818.05
2003-10-29,2845.61
2003-10-30,2884.2
2003-10-31,2954.37
2003-11-03,2948.2
2003-11-04,2981.41
2003-11-05,2968.92
2003-11-06,3003.43
2003-11-07,2980.09
2003-11-10,2972.18
2003-11-11,3033.36
2003-11-12,3062.04
2003-11-13,3011.59
2003-11-14,2975.08
2003-11-15,2995
2003-11-17,3033.08
2003-11-18,3032.57
2003-11-19,2998.61
2003-11-20,2958.18
2003-11-21,2958.1
2003-11-24,2979.91
2003-11-25,3030.71
2003-11-27,3063.26
2003-11-28,3117.1
2003-12-01,3164.4
2003-12-02,3183.6
2003-12-03,3229.54
2003-12-04,3270.6
2003-12-05,3245.95
2003-12-08,3308.61
2003-12-09,3367.88
2003-12-10,3317.95
2003-12-11,3333.95
2003-12-12,3364.97
2003-12-15,3419.28
2003-12-16,3403.88
2003-12-17,3410.9
2003-12-18,3462.5
2003-12-19,3483.32
2003-12-22,3563.58
2003-12-23,3586.98
2003-12-24,3663.27
2003-12-26,3724.17
2003-12-29,3793.84
2003-12-30,3770.14
2003-12-31,3797.37
2004-01-01,3879.38
2004-01-02,3910.97
2004-01-05,3873.35
2004-01-06,3849.5
2004-01-07,3804.51
2004-01-08,3967.47
2004-01-09,4004.66
2004-01-12,3991.08
2004-01-13,4014.04
2004-01-14,4056.55
2004-01-15,4014.18
2004-01-16,3877.09
2004-01-19,3889.2
2004-01-20,3882.79
2004-01-21,3708.38
2004-01-22,3624.61
2004-01-23,3783.07
2004-01-27,3993.4
2004-01-28,3913.22
2004-01-29,3879.34
2004-01-30,3758.54
2004-02-03,3589.49
2004-02-04,3664.62
2004-02-05,3677.94
2004-02-06,3787.78
2004-02-09,3853.19
2004-02-10,3842.47
2004-02-11,3882.75
2004-02-12,3918.79
2004-02-13,3980.05
2004-02-16,4016.17
2004-02-17,4030.91
2004-02-18,4006.3
2004-02-19,3924.76
2004-02-20,3885.89
2004-02-23,3791.23
2004-02-24,3801.01
2004-02-25,3758.3
2004-02-26,3701.28
2004-02-27,3721.3
2004-03-01,3786.97
2004-03-03,3806.2
2004-03-04,3786.05
2004-03-05,3818.43
2004-03-08,3885.41
2004-03-09,3860.81
2004-03-10,3828.24
2004-03-11,3771.4
2004-03-12,3772.33
2004-03-15,3665.67
2004-03-16,3616.89
2004-03-17,3655.75
2004-03-18,3604.4
2004-03-19,3631.77
2004-03-22,3527.66
2004-03-23,3491.12
2004-03-24,3505.17
2004-03-25,3559.57
2004-03-26,3679.06
2004-03-29,3735.42
2004-03-30,3765.11
2004-03-31,3789.96
2004-04-01,3882.77
2004-04-02,3934.55
2004-04-05,3975.88
2004-04-06,3956.65
2004-04-07,3955.38
2004-04-08,4002.43
2004-04-12,4006.48
2004-04-13,4079.69
2004-04-15,4127.38
2004-04-16,4167.61
2004-04-17,4194.36
2004-04-19,4147.44
2004-04-20,4124.2
2004-04-21,4190.37
2004-04-22,4251.73
2004-04-23,4291.69
2004-04-27,4081.96
2004-04-28,4083.76
2004-04-29,4108.35
2004-04-30,4068.47
2004-05-03,3966.84
2004-05-04,4092.17
2004-05-05,4084.22
2004-05-06,4177.37
2004-05-07,4145.79
2004-05-10,4065.13
2004-05-11,3856.77
2004-05-12,3890.74
2004-05-13,3859.55
2004-05-14,3422.17
2004-05-17,3004.47
2004-05-18,3261.57
2004-05-19,3482.74
2004-05-20,3512.5
2004-05-21,3468.12
2004-05-24,3539.69
2004-05-25,3516.83
2004-05-26,3552.11
2004-05-27,3512.16
2004-05-28,3346.89
2004-05-31,3188.17
2004-06-01,3240.09
2004-06-02,3307.47
2004-06-03,3285.06
2004-06-04,3310.59
2004-06-07,3347.6
2004-06-08,3344.72
2004-06-09,3372.7
2004-06-10,3367.93
2004-06-11,3303.46
2004-06-14,3214.35
2004-06-15,3246.4
2004-06-16,3256.47
2004-06-17,3268.17
2004-06-18,3250.78
2004-06-21,3198.33
2004-06-22,3166.19
2004-06-23,3087
2004-06-24,3105.03
2004-06-25,3153.17
2004-06-28,3227.03
2004-06-29,3261.67
2004-06-30,3270.71
2004-07-01,3317
2004-07-02,3327.26
2004-07-05,3282.39
2004-07-06,3302.23
2004-07-07,3305.29
2004-07-08,3227.14
2004-07-09,3298.87
2004-07-12,3352.12
2004-07-13,3348.23
2004-07-14,3352.9
2004-07-15,3375.39
2004-07-16,3432.31
2004-07-19,3461.73
2004-07-20,3441.42
2004-07-21,3452.87
2004-07-22,3516.32
2004-07-23,3534.9
2004-07-26,3545.57
2004-07-27,3476.15
2004-07-28,3450.83
2004-07-29,3482.69
2004-07-30,3485.53
2004-08-02,3490.44
2004-08-03,3507.07
2004-08-04,3510.25
2004-08-05,3575.24
2004-08-06,3552.23
2004-08-09,3556.69
2004-08-10,3556.35
2004-08-11,3488.3
2004-08-12,3468.84
2004-08-13,3465.04
